country,year,sex,age_group,population,population_density,median_age,fertility_rate,life_expectancy,net_migration,urban_population_percent,dependency_ratio,birth_rate,death_rate,population_growth_rate
Belgium,2017,Male,0-14,716165,421.36,35.1,1.87,81.8,-34621,69.8,48.0,8.53,13.26,2.49
Belgium,2017,Male,15-29,4869075,211.13,42.7,1.9,77.0,-26295,71.7,53.3,10.48,8.02,0.98
Belgium,2017,Male,30-44,154195,115.22,39.7,1.56,82.9,-13940,79.3,46.3,9.9,11.37,0.74
Belgium,2017,Male,45-64,1207655,347.94,44.7,1.44,82.4,18926,62.3,46.2,8.67,12.71,1.33
Belgium,2017,Male,65+,3966643,273.12,40.3,1.33,78.0,26256,62.7,49.4,9.99,12.41,2.49
Belgium,2017,Female,0-14,2693061,332.01,40.1,1.77,82.1,33930,80.6,64.8,10.74,12.44,2.3
Belgium,2017,Female,15-29,3840328,295.81,46.8,1.35,81.3,-43603,77.6,59.0,11.65,12.7,-1.28
Belgium,2017,Female,30-44,4052713,440.18,45.1,1.37,82.2,-24721,74.5,47.7,7.4,12.37,0.49
Belgium,2017,Female,45-64,3984999,372.87,44.2,1.34,80.5,-12949,72.0,63.5,9.36,8.08,-0.37
Belgium,2017,Female,65+,4074733,47.06,38.3,1.45,82.1,57,68.2,60.2,9.25,12.66,-1.24
Belgium,2017,Total,0-14,1812999,51.86,42.4,1.71,78.1,-32927,72.3,51.9,11.5,8.13,1.16
Belgium,2017,Total,15-29,2213859,90.15,45.6,1.55,82.5,-27331,81.9,64.6,8.28,11.93,-0.71
Belgium,2017,Total,30-44,3817255,188.98,38.7,2.05,83.7,-43412,63.4,48.0,8.13,9.51,1.9
Belgium,2017,Total,45-64,2953030,286.2,46.8,1.4,78.6,-31526,62.0,59.2,9.72,8.49,0.33
Belgium,2017,Total,65+,1429904,231.46,36.7,1.8,76.9,15633,85.9,54.2,10.75,9.74,1.65
Belgium,2018,Male,0-14,2660469,409.01,40.5,1.25,82.1,-12177,70.2,62.4,9.72,12.55,1.52
Belgium,2018,Male,15-29,1628638,126.29,45.5,1.99,82.8,6700,73.5,64.7,10.86,8.16,-1.24
Belgium,2018,Male,30-44,4520013,191.52,38.4,1.55,82.2,14166,79.7,61.4,8.9,12.65,2.36
Belgium,2018,Male,45-64,2805063,117.76,36.1,1.52,81.8,7828,79.0,61.0,8.98,13.49,0.63
Belgium,2018,Male,65+,1498763,357.07,44.5,1.49,82.7,15794,86.9,48.4,9.54,11.59,-1.37
Belgium,2018,Female,0-14,1818967,450.18,42.9,1.34,79.0,-38795,89.0,62.1,7.59,12.44,-0.22
Belgium,2018,Female,15-29,628688,226.35,46.8,1.8,80.7,-48717,89.9,64.6,10.28,8.78,1.25
Belgium,2018,Female,30-44,289968,43.8,44.9,1.39,78.4,-17006,65.6,62.2,11.1,11.24,1.34
Belgium,2018,Female,45-64,2046170,453.61,42.8,1.48,77.3,-3963,84.8,51.7,7.87,12.27,1.8
Belgium,2018,Female,65+,4465677,367.97,40.0,2.01,81.7,-20991,82.5,58.0,10.1,10.11,1.87
Belgium,2018,Total,0-14,2558426,426.56,38.0,1.23,81.7,37969,69.8,58.7,7.35,9.05,1.92
Belgium,2018,Total,15-29,2700235,496.12,35.9,1.27,78.1,48745,75.4,51.1,8.06,8.2,-0.28
Belgium,2018,Total,30-44,3567741,386.85,45.8,1.41,82.3,939,79.9,50.2,11.54,12.02,0.74
Belgium,2018,Total,45-64,4720817,240.12,40.5,1.98,79.9,-3262,89.3,47.2,9.11,8.25,1.46
Belgium,2018,Total,65+,513001,484.13,36.5,1.84,83.8,34866,82.6,61.1,7.09,13.78,1.41
Belgium,2019,Male,0-14,323146,325.27,41.4,1.77,79.0,85,63.6,46.4,8.32,8.28,0.77
Belgium,2019,Male,15-29,2735747,171.59,42.2,1.47,77.7,48344,61.4,63.1,11.26,12.01,0.87
Belgium,2019,Male,30-44,3258823,117.11,35.9,1.42,82.2,-40115,72.9,50.4,10.95,11.44,1.14
Belgium,2019,Male,45-64,1570943,420.75,42.2,1.3,75.8,35436,61.0,62.4,7.32,13.73,-1.4
Belgium,2019,Male,65+,4736166,232.3,38.8,1.59,82.0,-23351,64.9,48.4,11.74,10.67,1.66
Belgium,2019,Female,0-14,4060162,141.59,41.1,1.29,78.5,-41230,79.6,64.0,10.0,12.46,0.53
Belgium,2019,Female,15-29,3150581,63.34,38.1,1.53,79.3,-45622,64.2,50.5,11.86,9.99,0.43
Belgium,2019,Female,30-44,3422455,250.78,40.4,1.63,80.3,36716,60.2,45.2,8.1,8.22,-1.07
Belgium,2019,Female,45-64,4216233,247.54,40.3,1.4,78.6,15333,88.0,52.9,7.44,11.7,-1.04
Belgium,2019,Female,65+,4157834,268.48,45.5,1.64,81.3,31554,73.5,63.6,7.83,10.34,1.42
Belgium,2019,Total,0-14,4435724,365.6,42.3,1.48,82.4,5398,88.6,59.4,11.31,8.01,1.37
Belgium,2019,Total,15-29,4048422,49.06,45.5,1.43,81.0,-46256,73.7,52.4,7.61,10.51,1.5
Belgium,2019,Total,30-44,3035696,219.99,38.9,1.87,78.7,-13364,80.4,52.2,9.97,8.06,1.04
Belgium,2019,Total,45-64,2211352,317.91,45.5,1.85,76.1,27313,75.9,61.6,11.96,12.92,1.28
Belgium,2019,Total,65+,560370,240.96,36.0,1.56,83.2,-12563,76.8,51.9,10.65,11.91,1.88
Belgium,2020,Male,0-14,4716805,430.37,39.8,1.27,79.9,25749,83.7,53.9,10.99,12.93,1.93
Belgium,2020,Male,15-29,2711198,386.89,36.2,2.0,75.1,16677,81.2,58.8,8.87,9.0,0.22
Belgium,2020,Male,30-44,118803,51.05,44.1,2.05,78.1,-9621,71.4,45.1,8.93,12.75,0.88
Belgium,2020,Male,45-64,1383572,279.61,45.1,1.72,80.0,-32562,80.6,47.8,9.43,8.17,0.52
Belgium,2020,Male,65+,4889498,93.82,36.2,1.39,83.3,41369,71.9,51.3,7.74,10.93,-0.98
Belgium,2020,Female,0-14,3935180,204.09,39.5,1.63,79.0,16321,84.8,64.7,8.44,13.77,0.06
Belgium,2020,Female,15-29,3255228,486.25,44.3,2.08,79.3,-48068,76.3,60.2,11.17,10.64,-0.29
Belgium,2020,Female,30-44,176060,121.47,35.7,1.51,77.4,24027,84.9,55.9,7.83,11.5,2.5
Belgium,2020,Female,45-64,612060,324.33,40.9,1.56,83.9,-29781,69.0,51.5,10.96,10.77,1.42
Belgium,2020,Female,65+,1755243,430.7,43.5,2.02,76.2,-48860,78.0,52.1,9.29,8.23,1.48
Belgium,2020,Total,0-14,2173238,88.67,44.5,1.45,82.9,-1349,89.1,64.0,9.56,8.56,1.52
Belgium,2020,Total,15-29,3661646,172.15,40.9,1.67,80.1,-47546,71.6,55.2,9.46,11.46,1.96
Belgium,2020,Total,30-44,1212189,244.31,40.3,1.74,80.3,-8138,88.7,49.0,7.55,13.12,0.26
Belgium,2020,Total,45-64,2249391,142.98,38.7,1.43,75.3,-24482,78.8,63.5,7.1,10.86,1.25
